disease,time_frame,ensemble_method,valid_AUC,test_AUC,external_AUC,n_valid,n_test,n_ext
acute_kidney_injury,1,cox,0.8445249127750201,0.8673963325941293,0.9868060315284441,13991,13991,5837
acute_kidney_injury,1,xgb,0.7335538263424943,0.8146028566659512,0.9617888965044551,13991,13991,5837
acute_kidney_injury,1,ordinal,0.8528676931881969,0.8594200825047094,0.9694996572995203,13991,13991,5837
acute_kidney_injury,1,simple_ensemble,0.8296113673134705,0.8590147125450079,0.9813228238519534,13991,13991,5837
acute_kidney_injury,1,weighted_ensemble,0.8313943889848884,0.8604454300498366,0.9814941740918437,13991,13991,5837
acute_kidney_injury,1,weighted_softmax_ensemble,0.8390712878479369,0.8654589026396738,0.9852638793694312,13991,13991,5837
acute_kidney_injury,1,pnn_ensemble,0.8315925025039348,0.8604990819562677,0.981665524331734,13991,13991,5837
acute_kidney_injury,2,cox,0.9103228631713046,0.9070653518998555,0.7396958783513405,13991,13991,5837
acute_kidney_injury,2,xgb,0.8819538994386719,0.8863506102723756,0.7354941976790718,13991,13991,5837
acute_kidney_injury,2,ordinal,0.9096918667144392,0.8999303104117549,0.8006059566683816,13991,13991,5837
acute_kidney_injury,2,simple_ensemble,0.9158087503483419,0.9065725314471553,0.7372663351054708,13991,13991,5837
acute_kidney_injury,2,weighted_ensemble,0.91576296827103,0.9066311488578289,0.7372377522437547,13991,13991,5837
acute_kidney_injury,2,weighted_softmax_ensemble,0.9156057167880886,0.9071131142344783,0.7370090893500256,13991,13991,5837
acute_kidney_injury,2,pnn_ensemble,0.9154882758071579,0.9071478504778404,0.7367518435945807,13991,13991,5837
acute_kidney_injury,5,cox,0.8674698600524117,0.8734836114924258,0.7873978816376935,13991,13991,5837
acute_kidney_injury,5,xgb,0.8325562057648541,0.86352431182718,0.7526390472119313,13991,13991,5837
acute_kidney_injury,5,ordinal,0.8693060460847957,0.8777414926667149,0.7991147762895412,13991,13991,5837
acute_kidney_injury,5,simple_ensemble,0.8726539418086015,0.8773258194253786,0.7928422152560084,13991,13991,5837
acute_kidney_injury,5,weighted_ensemble,0.8726770994561722,0.8773157045492859,0.7928362781419207,13991,13991,5837
acute_kidney_injury,5,weighted_softmax_ensemble,0.8727541120980936,0.8771134070274306,0.7926403533770305,13991,13991,5837
acute_kidney_injury,5,pnn_ensemble,0.8725448854450416,0.8767974375647232,0.7920228935119217,13991,13991,5837
acute_kidney_injury,10,cox,0.8247437371580402,0.8256588714440434,0.8074781584185698,13991,13991,5837
acute_kidney_injury,10,xgb,0.8231841144414954,0.8300718409123884,0.8324243561543614,13991,13991,5837
acute_kidney_injury,10,ordinal,0.8319371078969588,0.8326830719537591,0.8204316770628953,13991,13991,5837
acute_kidney_injury,10,simple_ensemble,0.8330677767307288,0.8365636829679001,0.827210406046757,13991,13991,5837
acute_kidney_injury,10,weighted_ensemble,0.8330646067658577,0.836558553567791,0.827200904543144,13991,13991,5837
acute_kidney_injury,10,weighted_softmax_ensemble,0.8330285844377778,0.836517664921205,0.8271106402588211,13991,13991,5837
acute_kidney_injury,10,pnn_ensemble,0.832910431201676,0.8367798505439362,0.8277543671285981,13991,13991,5837
alzheimers_disease,2,cox,0.8905964611872146,0.775217577400485,0.8604173794047211,14021,14021,5853
alzheimers_disease,2,xgb,0.6867579908675799,0.5411375850097493,0.437319779091931,14021,14021,5853
alzheimers_disease,2,ordinal,0.9301726598173515,0.7123460312930994,0.6203264747568544,14021,14021,5853
alzheimers_disease,2,simple_ensemble,0.9014412100456621,0.7017643981547533,0.8743463173842921,14021,14021,5853
alzheimers_disease,2,weighted_ensemble,0.9014126712328767,0.7231654539401721,0.8791359171106007,14021,14021,5853
alzheimers_disease,2,weighted_softmax_ensemble,0.8948344748858448,0.771936082180054,0.8708029910561556,14021,14021,5853
alzheimers_disease,2,pnn_ensemble,0.8961900684931507,0.7651115232795929,0.8776330580128049,14021,14021,5853
alzheimers_disease,5,cox,0.9286970621375766,0.8461960560160047,0.8309781074869975,14021,14021,5853
alzheimers_disease,5,xgb,0.878910050292687,0.8381308945412975,0.8727875660202395,14021,14021,5853
alzheimers_disease,5,ordinal,0.8914763514441971,0.864575593026579,0.7669838326008951,14021,14021,5853
alzheimers_disease,5,simple_ensemble,0.9300409486904664,0.8640297227779365,0.9072692819417005,14021,14021,5853
alzheimers_disease,5,weighted_ensemble,0.9303212685849342,0.863972563589597,0.9071987259605692,14021,14021,5853
alzheimers_disease,5,weighted_softmax_ensemble,0.931783329210982,0.8624321234638468,0.904547836955207,14021,14021,5853
alzheimers_disease,5,pnn_ensemble,0.9293470195399456,0.8638210917404973,0.9075918235697295,14021,14021,5853
alzheimers_disease,10,cox,0.8790411284483284,0.8370075323346352,0.857352180658507,14021,14021,5853
alzheimers_disease,10,xgb,0.8929905870518072,0.8639260756083185,0.897772930396616,14021,14021,5853
alzheimers_disease,10,ordinal,0.8834854024684807,0.8420557509342557,0.83803190431358,14021,14021,5853
alzheimers_disease,10,simple_ensemble,0.9068723365446797,0.867875855726323,0.9047312797528277,14021,14021,5853
alzheimers_disease,10,weighted_ensemble,0.9069573183875834,0.8680209325069137,0.9049102939811438,14021,14021,5853
alzheimers_disease,10,weighted_softmax_ensemble,0.9077864095378646,0.869150458870085,0.9059247079416015,14021,14021,5853
alzheimers_disease,10,pnn_ensemble,0.9102681557143726,0.870806536227097,0.9081259199342289,14021,14021,5853
atrial_fibrillation,1,cox,0.7573901440374351,0.9134778476385436,0.862183988764045,13717,13718,5710
atrial_fibrillation,1,xgb,0.7622020545441252,0.8311796315250768,0.8174658908507223,13717,13718,5710
atrial_fibrillation,1,ordinal,0.7833278496746362,0.8838417531802895,0.8798467596308186,13717,13718,5710
atrial_fibrillation,1,simple_ensemble,0.7670395554580683,0.9067736511185847,0.8615569823434992,13717,13718,5710
atrial_fibrillation,1,weighted_ensemble,0.7670505227754625,0.9067096797777453,0.8615193619582664,13717,13718,5710
atrial_fibrillation,1,weighted_softmax_ensemble,0.767194925787819,0.9063094019593507,0.86143158105939,13717,13718,5710
atrial_fibrillation,1,pnn_ensemble,0.7677432916575273,0.9050244918847785,0.8606039325842696,13717,13718,5710
atrial_fibrillation,2,cox,0.7736114878340646,0.8417354342937717,0.7500056517866429,13717,13718,5710
atrial_fibrillation,2,xgb,0.7660494615077782,0.8008192322800527,0.742789450601124,13717,13718,5710
atrial_fibrillation,2,ordinal,0.7777024331870761,0.8109355096776732,0.766203672304889,13717,13718,5710
atrial_fibrillation,2,simple_ensemble,0.7794168328679698,0.842126734264935,0.7620100466159362,13717,13718,5710
atrial_fibrillation,2,weighted_ensemble,0.7793857199840448,0.842166091321996,0.7620145680452504,13717,13718,5710
atrial_fibrillation,2,weighted_softmax_ensemble,0.7792740327084163,0.8423681746726741,0.7618201465847384,13717,13718,5710
atrial_fibrillation,2,pnn_ensemble,0.779301156761069,0.842154738324767,0.7619331823175942,13717,13718,5710
atrial_fibrillation,5,cox,0.7796009887778095,0.8094116257331565,0.7852009522764072,13717,13718,5710
atrial_fibrillation,5,xgb,0.774709601207534,0.7917901862294948,0.7495609100139959,13717,13718,5710
atrial_fibrillation,5,ordinal,0.7773726839192352,0.8094248508006945,0.776248490628173,13717,13718,5710
atrial_fibrillation,5,simple_ensemble,0.7906566512808172,0.8142756258153319,0.7854496555887923,13717,13718,5710
atrial_fibrillation,5,weighted_ensemble,0.790649815151051,0.8142766530050436,0.7854942506654957,13717,13718,5710
atrial_fibrillation,5,weighted_softmax_ensemble,0.7905839148601054,0.8142745986256201,0.7858235681549988,13717,13718,5710
atrial_fibrillation,5,pnn_ensemble,0.7907200905650472,0.8143082390886773,0.7854959658607535,13717,13718,5710
atrial_fibrillation,10,cox,0.7722168840842571,0.7865103127079175,0.7574384195828854,13717,13718,5710
atrial_fibrillation,10,xgb,0.7864967108147599,0.7884955376603116,0.7604715857064045,13717,13718,5710
atrial_fibrillation,10,ordinal,0.7823776720303415,0.7869966389060958,0.767763909979696,13717,13718,5710
atrial_fibrillation,10,simple_ensemble,0.788129073406935,0.7962176795833621,0.7688743765178271,13717,13718,5710
atrial_fibrillation,10,weighted_ensemble,0.7882222985252895,0.7962496845389679,0.7689369380129332,13717,13718,5710
atrial_fibrillation,10,weighted_softmax_ensemble,0.7888444146616344,0.7964878289398215,0.7691217787939281,13717,13718,5710
atrial_fibrillation,10,pnn_ensemble,0.7907867969233864,0.7974287058067772,0.7696229816808566,13717,13718,5710
chronic_kidney_disease,1,cox,0.843355262625527,0.903001909411232,0.9896995708154507,13767,13767,5826
chronic_kidney_disease,1,xgb,0.786094320232402,0.8256313852089525,0.9974248927038627,13767,13767,5826
