diag_type,time_point,feature_type,rank,feature
acute_kidney_injury,0,protein,1,olink_cd59
acute_kidney_injury,0,protein,2,olink_npdc1
acute_kidney_injury,0,protein,3,olink_nectin2
acute_kidney_injury,0,protein,4,olink_hspg2
acute_kidney_injury,0,protein,5,olink_col6a3
acute_kidney_injury,0,protein,6,olink_igfbp4
acute_kidney_injury,0,protein,7,olink_umod
acute_kidney_injury,0,protein,8,olink_bpifb2
acute_kidney_injury,0,protein,9,olink_hdgf
acute_kidney_injury,0,protein,10,olink_reg1a
acute_kidney_injury,0,protein,11,olink_efna1
acute_kidney_injury,0,protein,12,olink_pdlim7
acute_kidney_injury,0,protein,13,olink_wfikkn1
acute_kidney_injury,0,protein,14,olink_htr1b
acute_kidney_injury,0,protein,15,olink_s100a14
acute_kidney_injury,0,protein,16,olink_got1
acute_kidney_injury,0,protein,17,olink_gcg
acute_kidney_injury,0,protein,18,olink_tff1
acute_kidney_injury,0,protein,19,olink_ren
acute_kidney_injury,0,protein,20,olink_cpa2
acute_kidney_injury,0,protein,21,olink_npc2
acute_kidney_injury,0,protein,22,olink_reg3a
acute_kidney_injury,0,protein,23,olink_lama1
acute_kidney_injury,0,protein,24,olink_trim21
acute_kidney_injury,0,protein,25,olink_sdc4
acute_kidney_injury,0,protein,26,olink_pilrb
acute_kidney_injury,0,protein,27,olink_clec5a
acute_kidney_injury,0,protein,28,olink_lefty2
acute_kidney_injury,0,protein,29,olink_furin
acute_kidney_injury,0,protein,30,olink_clec10a
acute_kidney_injury,0,protein,31,olink_ppy
acute_kidney_injury,0,protein,32,olink_kyat1
acute_kidney_injury,0,protein,33,olink_cga
acute_kidney_injury,0,protein,34,olink_sost
acute_kidney_injury,0,protein,35,olink_pla2g4a
acute_kidney_injury,0,protein,36,olink_ephx2
acute_kidney_injury,0,protein,37,olink_pros1
acute_kidney_injury,0,protein,38,olink_il15
acute_kidney_injury,0,protein,39,olink_stx16
acute_kidney_injury,0,protein,40,olink_gbp4
acute_kidney_injury,0,protein,41,olink_ctsc
acute_kidney_injury,0,protein,42,olink_gpkow
acute_kidney_injury,0,protein,43,olink_cd300lf
