diag_type,time_point,feature_type,rank,feature
oral_pharynx_cancer,0,protein,1,olink_ckb
oral_pharynx_cancer,0,protein,2,olink_edar
oral_pharynx_cancer,0,protein,3,olink_rspo1
oral_pharynx_cancer,0,protein,4,olink_phldb2
oral_pharynx_cancer,0,protein,5,olink_slitrk2
oral_pharynx_cancer,0,protein,6,olink_wnt9a
oral_pharynx_cancer,0,protein,7,olink_fstl3
oral_pharynx_cancer,0,protein,8,olink_ceacam16
oral_pharynx_cancer,0,protein,9,olink_mad1l1
oral_pharynx_cancer,0,protein,10,olink_igfbp3
oral_pharynx_cancer,0,protein,11,olink_usp28
oral_pharynx_cancer,0,protein,12,olink_gdf15
oral_pharynx_cancer,0,protein,13,olink_lrp1
oral_pharynx_cancer,0,protein,14,olink_cd274
oral_pharynx_cancer,0,protein,15,olink_gnpda1
oral_pharynx_cancer,0,protein,16,olink_igfbp4
oral_pharynx_cancer,0,protein,17,olink_klk4
oral_pharynx_cancer,0,protein,18,olink_ccl17
oral_pharynx_cancer,0,protein,19,olink_rln2
oral_pharynx_cancer,0,protein,20,olink_optc
oral_pharynx_cancer,0,protein,21,olink_skiv2l
oral_pharynx_cancer,0,protein,22,olink_ptprc
oral_pharynx_cancer,0,protein,23,olink_mrc1
oral_pharynx_cancer,0,protein,24,olink_spred2
oral_pharynx_cancer,0,protein,25,olink_ccl27
oral_pharynx_cancer,0,protein,26,olink_cd8a
oral_pharynx_cancer,0,protein,27,olink_tshb
oral_pharynx_cancer,0,protein,28,olink_s100p
oral_pharynx_cancer,0,protein,29,olink_havcr2
oral_pharynx_cancer,0,protein,30,olink_cytl1
oral_pharynx_cancer,0,protein,31,olink_il16
oral_pharynx_cancer,0,protein,32,olink_psg1
oral_pharynx_cancer,0,protein,33,olink_cst1
oral_pharynx_cancer,0,protein,34,olink_gnly
oral_pharynx_cancer,0,protein,35,olink_agrp
oral_pharynx_cancer,0,protein,36,olink_icam4
oral_pharynx_cancer,0,protein,37,olink_itgb2
oral_pharynx_cancer,0,protein,38,olink_psca
oral_pharynx_cancer,0,protein,39,olink_fgl1
oral_pharynx_cancer,0,protein,40,olink_cdk1
oral_pharynx_cancer,0,protein,41,olink_bsg
oral_pharynx_cancer,0,protein,42,olink_f10
oral_pharynx_cancer,0,protein,43,olink_blmh
oral_pharynx_cancer,0,protein,44,olink_podxl2
oral_pharynx_cancer,0,protein,45,olink_anpep
oral_pharynx_cancer,0,protein,46,olink_tbc1d17
oral_pharynx_cancer,0,protein,47,olink_acp5
oral_pharynx_cancer,0,protein,48,olink_siglec8
oral_pharynx_cancer,0,protein,49,olink_mertk
oral_pharynx_cancer,0,protein,50,olink_cd5l
oral_pharynx_cancer,0,blood,1,blood_Lymphocyte count
oral_pharynx_cancer,0,blood,2,blood_Reticulocyte percentage
oral_pharynx_cancer,0,blood,3,blood_Monocyte count
oral_pharynx_cancer,0,blood,4,blood_Platelet crit
oral_pharynx_cancer,0,blood,5,blood_Urea
oral_pharynx_cancer,0,blood,6,blood_White blood cell (leukocyte) count
oral_pharynx_cancer,0,blood,7,blood_Alanine aminotransferase
oral_pharynx_cancer,0,blood,8,blood_Albumin
oral_pharynx_cancer,0,blood,9,blood_Alkaline phosphatase
oral_pharynx_cancer,0,blood,10,blood_Apolipoprotein A
oral_pharynx_cancer,0,blood,11,blood_Apolipoprotein B
oral_pharynx_cancer,0,blood,12,blood_C-reactive protein
oral_pharynx_cancer,0,blood,13,blood_Calcium
oral_pharynx_cancer,0,blood,14,blood_Cholesterol
oral_pharynx_cancer,0,blood,15,blood_Creatinine
oral_pharynx_cancer,0,blood,16,blood_Cystatin C
oral_pharynx_cancer,0,blood,17,blood_Direct bilirubin
oral_pharynx_cancer,0,blood,18,blood_Gamma glutamyltransferase
oral_pharynx_cancer,0,blood,19,blood_Glucose
oral_pharynx_cancer,0,blood,20,blood_Glycated haemoglobin (HbA1c)
oral_pharynx_cancer,0,blood,21,blood_HDL cholesterol
oral_pharynx_cancer,0,blood,22,blood_IGF-1
oral_pharynx_cancer,0,blood,23,blood_LDL direct
oral_pharynx_cancer,0,blood,24,blood_Lipoprotein A
oral_pharynx_cancer,0,blood,25,blood_Oestradiol
oral_pharynx_cancer,0,blood,26,blood_Rheumatoid factor
oral_pharynx_cancer,0,blood,27,blood_SHBG
oral_pharynx_cancer,0,blood,28,blood_Testosterone
oral_pharynx_cancer,0,blood,29,blood_Total bilirubin
oral_pharynx_cancer,0,blood,30,blood_Total protein
oral_pharynx_cancer,0,blood,31,blood_Triglycerides
oral_pharynx_cancer,0,blood,32,blood_Urate
oral_pharynx_cancer,0,blood,33,blood_Phosphate
oral_pharynx_cancer,0,blood,34,blood_Mean corpuscular haemoglobin concentration
oral_pharynx_cancer,0,blood,35,blood_Mean corpuscular volume
oral_pharynx_cancer,0,blood,36,blood_Mean platelet (thrombocyte) volume
oral_pharynx_cancer,0,blood,37,blood_Mean reticulocyte volume
oral_pharynx_cancer,0,blood,38,blood_Mean sphered cell volume
oral_pharynx_cancer,0,blood,39,blood_Monocyte percentage
oral_pharynx_cancer,0,blood,40,blood_Neutrophill count
oral_pharynx_cancer,0,blood,41,blood_Neutrophill percentage
oral_pharynx_cancer,0,blood,42,blood_Nucleated red blood cell count
oral_pharynx_cancer,0,blood,43,blood_Platelet count
oral_pharynx_cancer,0,blood,44,blood_Platelet distribution width
oral_pharynx_cancer,0,blood,45,blood_Red blood cell (erythrocyte) count
oral_pharynx_cancer,0,blood,46,blood_Red blood cell (erythrocyte) distribution width
oral_pharynx_cancer,0,blood,47,blood_Nucleated red blood cell percentage
oral_pharynx_cancer,0,blood,48,blood_Aspartate aminotransferase
oral_pharynx_cancer,0,blood,49,blood_Reticulocyte count
oral_pharynx_cancer,0,blood,50,blood_Vitamin D
oral_pharynx_cancer,0,combined,1,olink_ckb
oral_pharynx_cancer,0,combined,2,olink_edar
oral_pharynx_cancer,0,combined,3,olink_rspo1
oral_pharynx_cancer,0,combined,4,olink_phldb2
oral_pharynx_cancer,0,combined,5,olink_slitrk2
oral_pharynx_cancer,0,combined,6,olink_wnt9a
oral_pharynx_cancer,0,combined,7,olink_fstl3
oral_pharynx_cancer,0,combined,8,olink_ceacam16
oral_pharynx_cancer,0,combined,9,olink_mad1l1
oral_pharynx_cancer,0,combined,10,olink_igfbp3
oral_pharynx_cancer,0,combined,11,olink_usp28
oral_pharynx_cancer,0,combined,12,olink_gdf15
oral_pharynx_cancer,0,combined,13,olink_lrp1
oral_pharynx_cancer,0,combined,14,olink_cd274
oral_pharynx_cancer,0,combined,15,olink_gnpda1
oral_pharynx_cancer,0,combined,16,olink_igfbp4
oral_pharynx_cancer,0,combined,17,olink_klk4
oral_pharynx_cancer,0,combined,18,olink_ccl17
oral_pharynx_cancer,0,combined,19,olink_rln2
oral_pharynx_cancer,0,combined,20,olink_optc
oral_pharynx_cancer,0,combined,21,olink_skiv2l
oral_pharynx_cancer,0,combined,22,olink_ptprc
oral_pharynx_cancer,0,combined,23,olink_mrc1
oral_pharynx_cancer,0,combined,24,olink_spred2
oral_pharynx_cancer,0,combined,25,olink_ccl27
oral_pharynx_cancer,0,combined,26,olink_cd8a
oral_pharynx_cancer,0,combined,27,olink_tshb
oral_pharynx_cancer,0,combined,28,olink_s100p
oral_pharynx_cancer,0,combined,29,olink_havcr2
oral_pharynx_cancer,0,combined,30,olink_cytl1
oral_pharynx_cancer,0,combined,31,olink_il16
oral_pharynx_cancer,0,combined,32,olink_psg1
oral_pharynx_cancer,0,combined,33,olink_cst1
oral_pharynx_cancer,0,combined,34,olink_gnly
oral_pharynx_cancer,0,combined,35,olink_agrp
