diag_type,time_point,feature_type,rank,feature
colorectal_cancer,0,protein,1,olink_osbpl2
colorectal_cancer,0,protein,2,olink_hsd17b3
colorectal_cancer,0,protein,3,olink_septin8
colorectal_cancer,0,protein,4,olink_cd7
colorectal_cancer,0,protein,5,olink_ccer2
colorectal_cancer,0,protein,6,olink_clec5a
colorectal_cancer,0,protein,7,olink_c2orf69
colorectal_cancer,0,protein,8,olink_ebi3_il27
colorectal_cancer,0,protein,9,olink_ca5a
colorectal_cancer,0,protein,10,olink_ccl11
colorectal_cancer,0,protein,11,olink_guca2a
colorectal_cancer,0,protein,12,olink_nell1
colorectal_cancer,0,protein,13,olink_lefty2
colorectal_cancer,0,protein,14,olink_smad5
colorectal_cancer,0,protein,15,olink_dsg3
colorectal_cancer,0,protein,16,olink_spink4
colorectal_cancer,0,protein,17,olink_pomc
colorectal_cancer,0,protein,18,olink_s100a12
colorectal_cancer,0,protein,19,olink_map1lc3b2
colorectal_cancer,0,protein,20,olink_clec3b
colorectal_cancer,0,protein,21,olink_sprr3
colorectal_cancer,0,protein,22,olink_itgb1bp1
colorectal_cancer,0,protein,23,olink_ccl21
colorectal_cancer,0,protein,24,olink_tbc1d17
colorectal_cancer,0,protein,25,olink_cd276
colorectal_cancer,0,protein,26,olink_bmper
colorectal_cancer,0,protein,27,olink_cd274
colorectal_cancer,0,protein,28,olink_zbtb17
colorectal_cancer,0,protein,29,olink_sdk2
colorectal_cancer,0,protein,30,olink_cat
colorectal_cancer,0,protein,31,olink_abhd14b
colorectal_cancer,0,protein,32,olink_eif5a
colorectal_cancer,0,protein,33,olink_il1b
colorectal_cancer,0,protein,34,olink_glo1
colorectal_cancer,0,protein,35,olink_angptl7
colorectal_cancer,0,protein,36,olink_tnfsf10
colorectal_cancer,0,protein,37,olink_ang
colorectal_cancer,0,protein,38,olink_sult2a1
colorectal_cancer,0,protein,39,olink_ctsc
colorectal_cancer,0,protein,40,olink_prdx1
colorectal_cancer,0,protein,41,olink_lysmd3
colorectal_cancer,0,protein,42,olink_ddx58
colorectal_cancer,0,protein,43,olink_npy
colorectal_cancer,0,protein,44,olink_tcn1
colorectal_cancer,0,protein,45,olink_cd38
colorectal_cancer,0,protein,46,olink_kitlg
colorectal_cancer,0,protein,47,olink_pon3
colorectal_cancer,0,protein,48,olink_fam20a
colorectal_cancer,0,protein,49,olink_gpd1
